EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Flächen-Warmwasser-Fußbodenheizung;;
Untertitel;als Trockenbausystem mit Trockenbauplatte liefern und montieren;;
;- XPS500 Trockenbauplatte 1200 x 600 x 25 mm;;
;- Metallverbundrohr Heizung PE-RT/AL 16x2,0 mm;;
;- Klemmverschraubung 16/17 x 2,0 mm - einzeln | Hausmarke;;
;- Winkelspangen, Kunststoff schwarz, Rohrführung zum Umlenken der Heizrohre im Verteilerbereich, für Rohre 14-18 mm;;
;- PE-Randdämmstreifen 10/150 | Comfort-Selbstklebend | mit Folienlasche | 50 lfm | Hausmarke;;
;- Klebeband extrem reißfest, 1 Rolle = 66 m;;
;- Baustelleneinrichtung, Müllentsorgung, Bauleitung, Heizflächenauslegung und Abdrücken der Fußbodenheizung mit Luft sind im Preis enthalten;;
;- Montageleistung TRBS-Systemheizrohr (nicht enthalten: Montage der Verteiler, Schränke, Klemmleisten, Stellantriebe, Raumthermostate);;
;;;
100BIE038;Trockenbausystem XPS;€/m²;120,1
;;;
Untertitel;XPS500-Ausgleichsplatte;;
;- liefern und montieren;;
;-  unter 80 m² Fläche fällt zusätzlich eine Mindermengenpauschale an, auf Anfrage;;
;;;
100BIE039;XPS500-Ausgleichsplatte;€/m²;31,6
;;;
;;;
;;;
